"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","99","testGetBooking()","","2026-09-15","passed","2026-09-15","","BookingTest","BookingTest","testGetBooking"
"","156","testWithId()","","2026-09-15","failed","2026-09-15","","BookingTest","BookingTest","testWithId"
"","173","consultaPageObjects()","","2026-09-15","passed","2026-09-15","","BookingTest","BookingTest","consultaPageObjects"
"","1878","cadastrarReserva()","","2026-09-15","passed","2026-09-15","","BookingTest","BookingTest","cadastrarReserva"
